Column1,work_year,experience_level,employment_type,job_title, salary ,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
139,2021,EN,FT,Data Scientist," 80,000 ",USD," $80,000 ",US,100,US,M
140,2021,MI,FT,Data Analyst," 135,000 ",USD," $135,000 ",US,100,US,L
141,2021,SE,FT,Data Science Manager," 240,000 ",USD," $240,000 ",US,0,US,L
142,2021,SE,FT,Data Engineering Manager," 150,000 ",USD," $150,000 ",US,0,US,L
143,2021,MI,FT,Data Scientist," 82,500 ",USD," $82,500 ",US,100,US,S
144,2021,MI,FT,Data Engineer," 100,000 ",USD," $100,000 ",US,100,US,L
145,2021,SE,FT,Machine Learning Engineer," 70,000 ",EUR," $82,744 ",BE,50,BE,M
146,2021,MI,FT,Research Scientist," 53,000 ",EUR," $62,649 ",FR,50,FR,M
147,2021,MI,FT,Data Engineer," 90,000 ",USD," $90,000 ",US,100,US,L
148,2021,SE,FT,Data Engineering Manager," 153,000 ",USD," $153,000 ",US,100,US,L
149,2021,SE,FT,Cloud Data Engineer," 160,000 ",USD," $160,000 ",BR,100,US,S
150,2021,SE,FT,Director of Data Science," 168,000 ",USD," $168,000 ",JP,0,JP,S
151,2021,MI,FT,Data Scientist," 150,000 ",USD," $150,000 ",US,100,US,M
152,2021,MI,FT,Data Scientist," 95,000 ",CAD," $75,774 ",CA,100,CA,L
153,2021,EN,FT,Data Scientist," 13,400 ",USD," $13,400 ",UA,100,UA,L
154,2021,SE,FT,Data Science Manager," 144,000 ",USD," $144,000 ",US,100,US,L
155,2021,SE,FT,Data Science Engineer," 159,500 ",CAD," $127,221 ",CA,50,CA,L
156,2021,MI,FT,Data Scientist," 160,000 ",SGD," $119,059 ",SG,100,IL,M
157,2021,MI,FT,Applied Machine Learning Scientist," 423,000 ",USD," $423,000 ",US,50,US,L
158,2021,SE,FT,Data Analytics Manager," 120,000 ",USD," $120,000 ",US,100,US,M
159,2021,EN,FT,Machine Learning Engineer," 125,000 ",USD," $125,000 ",US,100,US,S
160,2021,EX,FT,Head of Data," 230,000 ",USD," $230,000 ",RU,50,RU,L
161,2021,EX,FT,Head of Data Science," 85,000 ",USD," $85,000 ",RU,0,RU,M
162,2021,MI,FT,Data Engineer," 24,000 ",EUR," $28,369 ",MT,50,MT,L
163,2021,EN,FT,Data Science Consultant," 54,000 ",EUR," $63,831 ",DE,50,DE,L
164,2021,EX,FT,Director of Data Science," 110,000 ",EUR," $130,026 ",DE,50,DE,M
165,2021,SE,FT,Data Specialist," 165,000 ",USD," $165,000 ",US,100,US,L
166,2021,EN,FT,Data Engineer," 80,000 ",USD," $80,000 ",US,100,US,L
167,2021,EX,FT,Director of Data Science," 250,000 ",USD," $250,000 ",US,0,US,L
168,2021,EN,FT,BI Data Analyst," 55,000 ",USD," $55,000 ",US,50,US,S
169,2021,MI,FT,Data Architect," 150,000 ",USD," $150,000 ",US,100,US,L
170,2021,MI,FT,Data Architect," 170,000 ",USD," $170,000 ",US,100,US,L
171,2021,MI,FT,Data Engineer," 60,000 ",GBP," $82,528 ",GB,100,GB,L
172,2021,EN,FT,Data Analyst," 60,000 ",USD," $60,000 ",US,100,US,S
173,2021,SE,FT,Principal Data Scientist," 235,000 ",USD," $235,000 ",US,100,US,L
174,2021,SE,FT,Research Scientist," 51,400 ",EUR," $60,757 ",PT,50,PT,L
175,2021,SE,FT,Data Engineering Manager," 174,000 ",USD," $174,000 ",US,100,US,L
176,2021,MI,FT,Data Scientist," 58,000 ",MXN," $2,859 ",MX,0,MX,S
177,2021,MI,FT,Data Scientist," 30,400,000 ",CLP," $40,038 ",CL,100,CL,L
178,2021,EN,FT,Machine Learning Engineer," 81,000 ",USD," $81,000 ",US,50,US,S
179,2021,MI,FT,Data Scientist," 420,000 ",INR," $5,679 ",IN,100,US,S
180,2021,MI,FT,Big Data Engineer," 1,672,000 ",INR," $22,611 ",IN,0,IN,L
181,2021,MI,FT,Data Scientist," 76,760 ",EUR," $90,734 ",DE,50,DE,L
182,2021,MI,FT,Data Engineer," 22,000 ",EUR," $26,005 ",RO,0,US,L
183,2021,SE,FT,Finance Data Analyst," 45,000 ",GBP," $61,896 ",GB,50,GB,L
184,2021,MI,FL,Machine Learning Scientist," 12,000 ",USD," $12,000 ",PK,50,PK,M
185,2021,MI,FT,Data Engineer," 4,000 ",USD," $4,000 ",IR,100,IR,M
186,2021,SE,FT,Data Analytics Engineer," 50,000 ",USD," $50,000 ",VN,100,GB,M
187,2021,EX,FT,Data Science Consultant," 59,000 ",EUR," $69,741 ",FR,100,ES,S
